,batsman,opponent_team,venue,50+ on ground,100+ on ground,avg_runs_ground,avg_runs_to_opponent,50+_runs_against_opponent,100+_runs_against_opponent,player_strength
0,AM Rahane,Mumbai Indians,Wankhede Stadium,2,0,46.8,29.352941176470587,4,0,38.275151515151514
1,AT Rayudu,Rising Pune Supergiants,Wankhede Stadium,0,0,15.88888888888889,22.0,0,0,20.057142857142857
2,F du Plessis,Mumbai Indians,Wankhede Stadium,1,0,37.0,32.9,4,0,28.544444444444444
3,HH Pandya,Rising Pune Supergiants,Wankhede Stadium,0,0,16.12,9.0,0,0,12.423076923076923
4,Harbhajan Singh,Rising Pune Supergiants,Wankhede Stadium,0,0,8.666666666666666,45.0,0,0,38.41612903225806
5,JC Buttler,Rising Pune Supergiants,Wankhede Stadium,2,0,32.333333333333336,13.5,0,0,0.2
6,KA Pollard,Rising Pune Supergiants,Wankhede Stadium,4,0,21.40909090909091,1.0,0,0,2.4
7,KP Pietersen,Mumbai Indians,Wankhede Stadium,0,0,21.0,21.0,0,0,26.0
8,LMP Simmons,Rising Pune Supergiants,Wankhede Stadium,1,0,24.0,8.0,0,0,14.5
9,MJ McClenaghan,Rising Pune Supergiants,Wankhede Stadium,0,0,5.142857142857143,2.0,0,0,11.0
10,R Vinay Kumar,Rising Pune Supergiants,Wankhede Stadium,0,0,12.0,12.0,0,0,17.409090909090907
11,RG Sharma,Rising Pune Supergiants,Wankhede Stadium,6,0,25.68,46.0,1,0,17.7
12,S Gopal,Rising Pune Supergiants,Wankhede Stadium,0,0,7.5,2.0,0,0,3.6500000000000004
13,A Mishra,Kolkata Knight Riders,Eden Gardens,0,0,3.0,3.0,0,0,5.433333333333334
14,CH Morris,Kolkata Knight Riders,Eden Gardens,0,0,8.0,6.666666666666667,0,0,13.855555555555554
15,CR Brathwaite,Kolkata Knight Riders,Eden Gardens,0,0,6.25,12.75,0,0,17.8
16,G Gambhir,Delhi Daredevils,Eden Gardens,5,0,32.4,32.25,1,0,40.36671785870996
17,KK Nair,Kolkata Knight Riders,Eden Gardens,0,0,9.0,18.0,1,0,11.283333333333331
18,MA Agarwal,Kolkata Knight Riders,Eden Gardens,1,0,23.0,23.636363636363637,2,0,23.158558558558564
19,MK Pandey,Delhi Daredevils,Eden Gardens,2,0,25.133333333333333,27.5,1,0,17.9
20,NM Coulter-Nile,Kolkata Knight Riders,Eden Gardens,0,0,5.0,7.0,0,0,10.563636363636363
21,P Negi,Kolkata Knight Riders,Eden Gardens,0,0,6.5,6.0,0,0,10.278070175438597
22,Q de Kock,Kolkata Knight Riders,Eden Gardens,0,0,7.0,33.46153846153846,4,1,12.933333333333335
23,RV Uthappa,Delhi Daredevils,Eden Gardens,5,0,24.037037037037038,34.333333333333336,2,0,38.16661350345561
24,SS Iyer,Kolkata Knight Riders,Eden Gardens,0,0,14.25,29.923076923076923,2,0,16.71547619047619
25,SV Samson,Kolkata Knight Riders,Eden Gardens,2,0,31.8,27.466666666666665,3,0,30.070499325236163
26,Z Khan,Kolkata Knight Riders,Eden Gardens,0,0,4.0,4.0,0,0,7.2444444444444445
27,AJ Finch,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,38.0,25.8,1,0,32.40833333333334
28,AR Patel,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,7.857142857142857,10.0,0,0,21.5
29,BB McCullum,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,0.0,1.75,0,0,0.2
30,DA Miller,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,12.714285714285714,23.0,0,0,21.636363636363633
31,DJ Bravo,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,2.0,1.0,0,0,11.0
32,GJ Maxwell,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,21.75,13.25,0,0,17.290909090909093
33,Ishan Kishan,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,20.0,19.25,0,0,23.416666666666664
34,KD Karthik,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,38.0,30.9,3,0,34.993311036789294
35,M Vijay,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,0,37.142857142857146,48.5,1,0,34.85294117647059
36,M Vohra,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,22.0,20.0,0,0,35.83333333333333
37,MP Stoinis,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,39.666666666666664,22.333333333333332,0,0,31.447826086956525
38,RA Jadeja,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,7.5,10.8,0,0,11.908333333333333
39,SK Raina,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,29.5,34.285714285714285,2,0,32.19090909090909
40,WP Saha,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,20.875,21.0,0,0,18.492307692307694
41,A Ashish Reddy,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,32.0,17.0,0,0,34.477777777777774
42,AB de Villiers,Sunrisers Hyderabad,M Chinnaswamy Stadium,4,1,32.285714285714285,30.083333333333332,4,0,35.984848484848484
43,CH Gayle,Sunrisers Hyderabad,M Chinnaswamy Stadium,2,0,17.25,30.5,2,1,30.71829268292683
44,DA Warner,Royal Challengers Bangalore,M Chinnaswamy Stadium,2,0,54.666666666666664,43.75,6,1,52.75
45,DJ Hooda,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,4.5,10.1,0,0,9.385714285714286
46,EJG Morgan,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,22.0,18.8,0,0,23.72222222222222
47,KM Jadhav,Sunrisers Hyderabad,M Chinnaswamy Stadium,0,0,12.714285714285714,13.166666666666666,0,0,17.43333333333333
48,KV Sharma,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,26.0,17.5,0,0,28.34444444444444
49,MC Henriques,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,11.5,23.6,1,0,14.358333333333334
50,NV Ojha,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,7.666666666666667,2.6666666666666665,0,0,10.8
51,S Dhawan,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,15.666666666666666,26.214285714285715,2,0,19.67905982905983
52,SN Khan,Sunrisers Hyderabad,M Chinnaswamy Stadium,0,0,18.0,19.0,0,0,52.6
53,SR Watson,Sunrisers Hyderabad,M Chinnaswamy Stadium,0,0,15.181818181818182,33.916666666666664,3,1,24.616666666666667
54,V Kohli,Sunrisers Hyderabad,M Chinnaswamy Stadium,8,3,50.57142857142857,25.2,3,1,48.65294117647059
55,AD Russell,Mumbai Indians,Eden Gardens,2,0,30.11111111111111,18.5,1,0,35.12727272727273
56,C Munro,Mumbai Indians,Eden Gardens,0,0,7.0,3.5,0,0,8.966666666666665
57,G Gambhir,Mumbai Indians,Eden Gardens,5,0,32.4,31.666666666666668,2,0,34.54075630252101
58,HH Pandya,Kolkata Knight Riders,Eden Gardens,1,0,30.0,30.09090909090909,2,0,28.462821492233257
59,JC Buttler,Kolkata Knight Riders,Eden Gardens,0,0,40.0,30.833333333333332,1,1,38.59644268774703
60,KA Pollard,Kolkata Knight Riders,Eden Gardens,0,0,11.333333333333334,17.0,1,0,16.513997113997114
61,MJ McClenaghan,Kolkata Knight Riders,Eden Gardens,0,0,20.0,20.0,0,0,35.3
62,MK Pandey,Mumbai Indians,Eden Gardens,2,0,25.133333333333333,33.42857142857143,4,0,35.81666666666667
63,PA Patel,Kolkata Knight Riders,Eden Gardens,0,0,17.0,17.333333333333332,0,0,19.26060606060606
64,RG Sharma,Kolkata Knight Riders,Eden Gardens,1,0,39.75,33.5625,4,0,34.05719696969697
65,RV Uthappa,Mumbai Indians,Eden Gardens,5,0,24.037037037037038,18.454545454545453,1,0,12.456410256410257
66,SA Yadav,Mumbai Indians,Eden Gardens,0,0,13.1,18.25,0,0,42.0
67,YK Pathan,Mumbai Indians,Eden Gardens,2,0,19.357142857142858,13.857142857142858,0,0,26.061111111111114
68,AJ Finch,Rising Pune Supergiants,Saurashtra Cricket Association Stadium,1,0,15.11111111111111,50.0,1,0,40.513513513513516
69,AM Rahane,Gujarat Lions,Saurashtra Cricket Association Stadium,0,0,10.5,19.5,1,0,11.976470588235296
70,BB McCullum,Rising Pune Supergiants,Saurashtra Cricket Association Stadium,1,0,25.454545454545453,46.0,0,0,41.20645161290322
71,DJ Bravo,Rising Pune Supergiants,Saurashtra Cricket Association Stadium,0,0,8.5,14.5,0,0,33.300000000000004
72,F du Plessis,Gujarat Lions,Saurashtra Cricket Association Stadium,1,0,69.0,69.0,1,0,51.94651162790697
73,KP Pietersen,Gujarat Lions,Saurashtra Cricket Association Stadium,0,0,37.0,37.0,0,0,31.235483870967744
74,MR Marsh,Gujarat Lions,Saurashtra Cricket Association Stadium,0,0,7.0,7.0,0,0,10.463636363636363
75,MS Dhoni,Gujarat Lions,Saurashtra Cricket Association Stadium,0,0,13.5,20.75,0,0,21.175
76,R Bhatia,Gujarat Lions,Saurashtra Cricket Association Stadium,0,0,0.0,0.0,0,0,0.2
77,RA Jadeja,Rising Pune Supergiants,Saurashtra Cricket Association Stadium,0,0,17.125,2.0,0,0,6.6
78,SK Raina,Rising Pune Supergiants,Saurashtra Cricket Association Stadium,2,0,32.8,29.0,0,0,22.400000000000002
79,SPD Smith,Gujarat Lions,Saurashtra Cricket Association Stadium,0,0,24.0,38.25,1,1,23.983333333333334
80,AR Patel,Delhi Daredevils,Feroz Shah Kotla,0,0,27.5,23.666666666666668,0,0,24.836206896551726
81,DA Miller,Delhi Daredevils,Feroz Shah Kotla,0,0,16.5,18.8,0,0,17.73793103448276
82,GJ Maxwell,Delhi Daredevils,Feroz Shah Kotla,0,0,0.0,5.333333333333333,0,0,0.25
83,M Vijay,Delhi Daredevils,Feroz Shah Kotla,0,0,1.0,13.0,0,0,2.9
84,M Vohra,Delhi Daredevils,Feroz Shah Kotla,0,0,17.5,12.333333333333334,0,0,18.45
85,MG Johnson,Delhi Daredevils,Feroz Shah Kotla,0,0,4.0,7.666666666666667,0,0,6.2333333333333325
86,MM Sharma,Delhi Daredevils,Feroz Shah Kotla,0,0,14.0,14.0,0,0,20.426190476190477
87,P Negi,Kings XI Punjab,Feroz Shah Kotla,0,0,10.6,14.5,0,0,44.0
88,P Sahu,Delhi Daredevils,Feroz Shah Kotla,0,0,18.0,18.0,0,0,24.4
89,Q de Kock,Kings XI Punjab,Feroz Shah Kotla,1,0,18.5,37.0,4,0,44.90909090909091
90,SE Marsh,Delhi Daredevils,Feroz Shah Kotla,0,0,13.0,13.0,0,0,15.625
91,SS Iyer,Kings XI Punjab,Feroz Shah Kotla,0,0,15.5,26.444444444444443,2,0,15.811111111111112
92,SV Samson,Kings XI Punjab,Feroz Shah Kotla,2,0,22.833333333333332,34.6,1,0,24.57777777777778
93,Sandeep Sharma,Delhi Daredevils,Feroz Shah Kotla,0,0,1.5,1.5,0,0,8.3
94,WP Saha,Delhi Daredevils,Feroz Shah Kotla,0,0,5.0,20.666666666666668,1,0,11.892857142857142
95,A Ashish Reddy,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",0,0,7.5,13.0,0,0,21.144444444444442
96,AD Russell,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0,0,2.0,18.416666666666668,0,0,5.3
97,B Kumar,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",0,0,5.5,3.625,0,0,0.1
98,DA Warner,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",6,1,47.142857142857146,43.06666666666667,5,1,51.19285714285714
99,DJ Hooda,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",0,0,9.6,12.333333333333334,0,0,8.954545454545453
100,EJG Morgan,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",1,0,20.0,51.0,1,0,39.060465116279076
101,G Gambhir,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",1,0,50.5,32.0,1,0,38.958064516129035
102,KV Sharma,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",0,0,2.6666666666666665,3.6666666666666665,0,0,11.0
103,MC Henriques,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",2,0,19.23076923076923,12.6,0,0,9.7
104,MK Pandey,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0,0,25.0,28.25,0,0,24.450000000000003
105,NV Ojha,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",0,0,14.625,17.2,0,0,32.91428571428571
106,RV Uthappa,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",1,0,45.5,25.615384615384617,2,0,38.49942084942085
107,S Dhawan,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",3,0,31.785714285714285,30.789473684210527,4,0,18.429653679653683
108,AD Nath,Mumbai Indians,Wankhede Stadium,0,0,7.0,7.0,0,0,12.537878787878787
109,AJ Finch,Mumbai Indians,Wankhede Stadium,1,0,56.5,27.666666666666668,2,0,42.31233766233766
110,AT Rayudu,Gujarat Lions,Wankhede Stadium,0,0,15.88888888888889,20.0,0,0,21.226315789473684
111,BB McCullum,Mumbai Indians,Wankhede Stadium,1,0,35.0,27.0,1,0,33.27272727272727
112,DJ Bravo,Mumbai Indians,Wankhede Stadium,1,0,21.25,16.555555555555557,1,0,25.0
113,DS Kulkarni,Mumbai Indians,Wankhede Stadium,0,0,6.0,6.0,0,0,23.0
114,HH Pandya,Gujarat Lions,Wankhede Stadium,0,0,16.12,4.75,0,0,11.416666666666668
115,Harbhajan Singh,Gujarat Lions,Wankhede Stadium,0,0,8.666666666666666,3.6666666666666665,0,0,11.053846153846155
116,JC Buttler,Gujarat Lions,Wankhede Stadium,2,0,32.333333333333336,17.0,0,0,20.744927536231884
117,JP Faulkner,Mumbai Indians,Wankhede Stadium,0,0,7.0,14.0,0,0,12.65
118,KA Pollard,Gujarat Lions,Wankhede Stadium,4,0,21.40909090909091,14.8,0,0,20.241666666666667
119,KD Karthik,Mumbai Indians,Wankhede Stadium,0,0,24.0,14.285714285714286,0,0,22.99946949602122
120,KH Pandya,Gujarat Lions,Wankhede Stadium,0,0,18.05263157894737,17.666666666666668,0,0,26.96666666666667
121,P Kumar,Mumbai Indians,Wankhede Stadium,0,0,0.0,0.0,0,0,0.2
122,PA Patel,Gujarat Lions,Wankhede Stadium,1,0,22.333333333333332,34.666666666666664,1,0,14.966666666666667
123,RG Sharma,Gujarat Lions,Wankhede Stadium,6,0,25.68,20.5,0,0,23.135440613026823
124,SK Raina,Mumbai Indians,Wankhede Stadium,0,0,21.5,19.166666666666668,2,0,19.715242378810593
125,TG Southee,Gujarat Lions,Wankhede Stadium,0,0,25.0,25.0,0,0,33.63333333333334
126,AM Rahane,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,9.0,18.5,0,0,13.481818181818184
127,DA Miller,Rising Pune Supergiants,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,12.714285714285714,7.0,0,0,15.266666666666667
128,F du Plessis,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,67.0,61.0,4,0,47.481818181818184
129,GJ Maxwell,Rising Pune Supergiants,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,21.75,32.0,0,0,39.15714285714286
130,IK Pathan,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,2.0,2.0,0,0,11.0
131,KP Pietersen,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,15.0,15.0,0,0,18.2
132,M Vijay,Rising Pune Supergiants,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,0,37.142857142857146,56.0,2,0,39.3921568627451
133,M Vohra,Rising Pune Supergiants,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,22.0,51.0,1,0,41.85454545454546
134,MS Dhoni,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,1.0,30.285714285714285,2,0,5.6
135,NLTC Perera,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,8.0,15.5,0,0,13.28888888888889
136,R Ashwin,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,1.0,2.0,0,0,5.6
137,SE Marsh,Rising Pune Supergiants,"Punjab Cricket Association IS Bindra Stadium, Mohali",3,0,43.0,4.0,0,0,8.866666666666667
138,SPD Smith,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,38.0,30.0,1,0,33.87407407407407
139,WP Saha,Rising Pune Supergiants,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,20.875,3.5,0,0,12.0
140,AB de Villiers,Delhi Daredevils,M Chinnaswamy Stadium,4,1,32.285714285714285,55.75,3,0,45.366666666666674
141,CH Gayle,Delhi Daredevils,M Chinnaswamy Stadium,2,0,17.25,13.75,0,0,0.30000000000000004
142,D Wiese,Delhi Daredevils,M Chinnaswamy Stadium,0,0,5.0,5.0,0,0,15.0
143,JP Duminy,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,7.0,15.0,0,0,17.7
144,KK Nair,Royal Challengers Bangalore,M Chinnaswamy Stadium,1,0,54.0,20.0,1,0,40.872727272727275
145,KM Jadhav,Delhi Daredevils,M Chinnaswamy Stadium,0,0,12.714285714285714,30.0,1,0,12.6
146,Q de Kock,Royal Challengers Bangalore,M Chinnaswamy Stadium,1,1,108.0,32.888888888888886,2,1,75.30000000000001
147,SN Khan,Delhi Daredevils,M Chinnaswamy Stadium,0,0,18.0,6.0,0,0,5.6
148,SR Watson,Delhi Daredevils,M Chinnaswamy Stadium,0,0,15.181818181818182,27.833333333333332,1,0,34.56842105263158
149,SS Iyer,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,0.0,28.4,3,0,0.5
150,SV Samson,Royal Challengers Bangalore,M Chinnaswamy Stadium,0,0,9.0,18.5,1,0,11.62857142857143
151,V Kohli,Delhi Daredevils,M Chinnaswamy Stadium,8,3,50.57142857142857,58.2,4,0,56.858333333333334
152,AT Rayudu,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",1,0,33.0,31.0,3,1,39.900000000000006
153,DA Warner,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",6,1,47.142857142857146,44.5,4,0,37.62704918032787
154,DJ Hooda,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",0,0,9.6,15.909090909090908,0,0,27.488888888888887
155,EJG Morgan,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",1,0,20.0,16.0,0,0,15.166666666666666
156,HH Pandya,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0,0,9.0,12.928571428571429,1,0,10.05
157,Harbhajan Singh,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0,0,1.0,5.6,0,0,3.3
158,JC Buttler,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0,0,11.0,31.75,3,1,15.9
159,KH Pandya,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0,0,48.0,17.615384615384617,0,0,42.19655172413793
160,MC Henriques,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",2,0,19.23076923076923,21.666666666666668,0,0,27.981168831168834
161,MJ Guptill,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0,0,2.0,12.5,0,0,6.3
162,PA Patel,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",0,0,12.333333333333334,13.0,0,0,18.822222222222223
163,RG Sharma,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",1,0,32.0,21.4,2,0,29.319444444444443
164,S Dhawan,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",3,0,31.785714285714285,34.9375,4,0,26.03913043478261
165,AR Patel,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,7.857142857142857,12.272727272727273,0,0,14.075
166,DA Miller,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,12.714285714285714,23.875,1,0,11.971428571428572
167,G Gambhir,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,21.0,37.833333333333336,3,0,18.72936507936508
168,GJ Maxwell,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,21.75,28.166666666666668,2,0,23.07037037037037
169,KJ Abbott,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,12.0,12.0,0,0,26.2
170,M Vijay,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,0,37.142857142857146,16.0,0,0,25.71818181818182
171,M Vohra,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,22.0,12.2,0,0,19.021367521367523
172,MK Pandey,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,15.0,26.333333333333332,2,0,17.417588932806325
173,MM Sharma,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,1.5,4.0,0,0,4.033333333333333
174,P Sahu,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,1.0,1.0,0,0,10.5
175,RV Uthappa,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,26.5,33.5,3,0,22.787931034482764
176,SA Yadav,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,11.0,19.571428571428573,1,0,18.122222222222224
177,SE Marsh,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",3,0,43.0,33.5,1,0,29.42926829268293
178,Shakib Al Hasan,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,11.0,21.0,0,0,13.633333333333333
179,WP Saha,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,20.875,20.25,0,0,20.804901960784314
180,YK Pathan,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,7.0,14.6,0,0,15.554761904761904
181,AB de Villiers,Mumbai Indians,Wankhede Stadium,1,0,37.0,33.0,3,0,31.461210847975558
182,AT Rayudu,Royal Challengers Bangalore,Wankhede Stadium,0,0,15.88888888888889,33.083333333333336,1,0,29.21666666666667
183,HH Pandya,Royal Challengers Bangalore,Wankhede Stadium,0,0,16.12,19.642857142857142,2,0,27.560087719298245
184,JC Buttler,Royal Challengers Bangalore,Wankhede Stadium,2,0,32.333333333333336,29.428571428571427,3,1,33.55714285714286
185,KA Pollard,Royal Challengers Bangalore,Wankhede Stadium,4,0,21.40909090909091,20.53846153846154,2,0,23.742307692307694
186,KL Rahul,Mumbai Indians,Wankhede Stadium,2,1,72.33333333333333,58.84615384615385,8,3,53.22252886002886
187,KW Richardson,Mumbai Indians,Wankhede Stadium,0,0,1.0,1.0,0,0,10.5
188,PA Patel,Royal Challengers Bangalore,Wankhede Stadium,1,0,22.333333333333332,2.25,0,0,5.666666666666667
189,RG Sharma,Royal Challengers Bangalore,Wankhede Stadium,6,0,25.68,29.785714285714285,3,0,46.26432271432272
190,SN Khan,Mumbai Indians,Wankhede Stadium,0,0,16.5,12.5,0,0,20.744444444444447
191,SR Watson,Mumbai Indians,Wankhede Stadium,1,1,24.333333333333332,15.8,1,0,11.76547619047619
192,STR Binny,Mumbai Indians,Wankhede Stadium,0,0,1.0,4.666666666666667,0,0,5.6
193,TM Head,Mumbai Indians,Wankhede Stadium,0,0,24.5,24.5,0,0,24.4
194,V Kohli,Mumbai Indians,Wankhede Stadium,1,0,38.25,33.25,4,0,31.594481340923465
195,AD Nath,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,0,0,2.5,5.0,0,0,8.1
196,AJ Finch,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,1,0,15.11111111111111,19.6,2,0,0.4
197,BB McCullum,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,1,0,25.454545454545453,15.5,0,0,20.38823529411765
198,DA Warner,Gujarat Lions,Saurashtra Cricket Association Stadium,1,0,74.0,67.2,4,0,53.10000000000001
199,DJ Bravo,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,0,0,8.5,10.166666666666666,0,0,11.166666666666666
200,DW Steyn,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,0,0,1.0,1.0,0,0,5.6
201,KD Karthik,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,3,0,24.88888888888889,13.764705882352942,0,0,12.5
202,P Kumar,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,0,0,8.0,3.75,0,0,10.5
203,RA Jadeja,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,0,0,17.125,17.272727272727273,1,0,16.25
204,S Dhawan,Gujarat Lions,Saurashtra Cricket Association Stadium,1,0,53.0,25.4,1,0,40.14545454545455
205,SK Raina,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,2,0,32.8,21.76923076923077,2,0,53.005882352941185
206,AB de Villiers,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,1,0,29.0,42.0,1,0,60.14347826086957
207,AM Rahane,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,4,0,30.166666666666668,36.7,3,0,27.532978723404256
208,Ankit Sharma,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,0,0,3.0,3.0,0,0,11.6
209,F du Plessis,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,0,0,12.2,20.166666666666668,1,0,7.866666666666666
210,KL Rahul,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,0,0,7.0,22.5,0,0,11.1
211,KP Pietersen,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,0,0,0.0,0.0,0,0,0.1
212,M Ashwin,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,0,0,0.5,0.5,0,0,0.1
213,MS Dhoni,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,2,0,26.3125,25.307692307692307,2,0,28.042006033182503
214,NLTC Perera,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,0,0,15.25,24.0,0,0,40.266666666666666
215,R Ashwin,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,0,0,0.0,11.142857142857142,0,0,0.1
216,R Bhatia,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,0,0,10.25,15.0,0,0,29.690909090909088
217,SN Khan,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,0,0,2.0,2.0,0,0,21.0
218,SPD Smith,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,3,1,40.7,25.714285714285715,1,0,24.93125
219,SR Watson,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,3,1,44.166666666666664,18.5,0,0,10.5
220,V Kohli,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,2,0,47.666666666666664,94.0,2,1,53.92857142857143
221,AT Rayudu,Delhi Daredevils,Feroz Shah Kotla,0,0,25.0,32.25,1,0,24.369565217391305
222,HH Pandya,Delhi Daredevils,Feroz Shah Kotla,0,0,15.5,16.8,0,0,21.679411764705883
223,Harbhajan Singh,Delhi Daredevils,Feroz Shah Kotla,0,0,0.0,1.0,0,0,0.1
224,JC Buttler,Delhi Daredevils,Feroz Shah Kotla,0,0,2.0,28.8,1,0,4.7333333333333325
225,JP Duminy,Mumbai Indians,Feroz Shah Kotla,0,0,43.666666666666664,29.0,0,0,40.70645161290322
