,batsman,opponent_team,venue,50+ on ground,100+ on ground,avg_runs_ground,avg_runs_to_opponent,50+_runs_against_opponent,100+_runs_against_opponent,player_strength
3026,Shubman Gill,Mumbai Indians,Sheikh Zayed Stadium,2,0,26.5,37.18181818181818,4,1,15.27027972027972
3027,AM Rahane,Chennai Super Kings,Sharjah Cricket Stadium,0,0,8.0,14.333333333333334,0,0,12.5
3028,AR Patel,Chennai Super Kings,Sharjah Cricket Stadium,0,0,10.2,10.8,0,0,52.5
3029,AT Carey,Chennai Super Kings,Sharjah Cricket Stadium,0,0,4.0,4.0,0,0,8.014285714285714
3030,AT Rayudu,Delhi Capitals,Sharjah Cricket Stadium,0,0,24.0,20.22222222222222,1,0,40.50769230769231
3031,F du Plessis,Delhi Capitals,Sharjah Cricket Stadium,2,0,40.6,27.6,2,0,43.18333333333334
3032,MP Stoinis,Chennai Super Kings,Sharjah Cricket Stadium,0,0,20.5,14.0,0,0,29.442857142857143
3033,MS Dhoni,Delhi Capitals,Sharjah Cricket Stadium,0,0,14.6,16.818181818181817,0,0,7.7
3034,PP Shaw,Chennai Super Kings,Sharjah Cricket Stadium,1,0,21.8,25.272727272727273,3,0,0.2
3035,RA Jadeja,Delhi Capitals,Sharjah Cricket Stadium,0,0,13.666666666666666,19.714285714285715,0,0,40.371428571428574
3036,S Dhawan,Chennai Super Kings,Sharjah Cricket Stadium,1,1,33.333333333333336,43.5,5,1,68.55737704918033
3037,SM Curran,Delhi Capitals,Sharjah Cricket Stadium,1,0,23.0,12.285714285714286,0,0,0.30000000000000004
3038,SR Watson,Delhi Capitals,Sharjah Cricket Stadium,0,0,34.5,28.8,1,0,31.957142857142863
3039,SS Iyer,Chennai Super Kings,Sharjah Cricket Stadium,1,0,32.833333333333336,17.9,0,0,22.4
3040,AB de Villiers,Kings XI Punjab,Dubai International Cricket Stadium,3,0,25.818181818181817,43.44444444444444,5,0,29.0
3041,AJ Finch,Kings XI Punjab,Dubai International Cricket Stadium,1,0,20.714285714285715,25.8,1,0,20.095652173913045
3042,D Padikkal,Kings XI Punjab,Dubai International Cricket Stadium,2,0,22.7,9.5,0,0,5.6
3043,DW Steyn,Kings XI Punjab,Dubai International Cricket Stadium,0,0,1.0,1.0,0,0,5.6
3044,GJ Maxwell,Royal Challengers Bangalore,Dubai International Cricket Stadium,3,0,22.5,14.5,0,0,11.033333333333335
3045,JR Philippe,Kings XI Punjab,Dubai International Cricket Stadium,0,0,0.5,0.0,0,0,0.30000000000000004
3046,KK Nair,Royal Challengers Bangalore,Dubai International Cricket Stadium,0,0,8.0,20.0,1,0,26.25
3047,KL Rahul,Royal Challengers Bangalore,Dubai International Cricket Stadium,5,1,47.166666666666664,48.166666666666664,4,1,86.95714285714286
3048,MA Agarwal,Royal Challengers Bangalore,Dubai International Cricket Stadium,2,0,29.3,27.333333333333332,1,0,25.71818181818182
3049,N Pooran,Royal Challengers Bangalore,Dubai International Cricket Stadium,2,0,25.454545454545453,20.25,1,0,18.147368421052633
3050,NA Saini,Kings XI Punjab,Dubai International Cricket Stadium,0,0,9.0,6.0,0,0,11.971428571428572
3051,S Dube,Kings XI Punjab,Dubai International Cricket Stadium,0,0,15.8,17.5,0,0,16.6
3052,UT Yadav,Kings XI Punjab,Dubai International Cricket Stadium,0,0,0.0,0.0,0,0,0.2
3053,V Kohli,Kings XI Punjab,Dubai International Cricket Stadium,3,0,29.90909090909091,37.44444444444444,2,1,2.9
3054,Washington Sundar,Kings XI Punjab,Dubai International Cricket Stadium,0,0,15.5,17.333333333333332,0,0,26.814285714285717
3055,YS Chahal,Kings XI Punjab,Dubai International Cricket Stadium,0,0,0.5,2.5,0,0,3.3
3056,AS Rajpoot,Mumbai Indians,Sheikh Zayed Stadium,0,0,2.0,3.0,0,0,5.3
3057,HH Pandya,Rajasthan Royals,Sheikh Zayed Stadium,1,0,23.75,34.5,2,0,44.086363636363636
3058,Ishan Kishan,Rajasthan Royals,Sheikh Zayed Stadium,0,0,23.6,30.0,3,0,15.200000000000001
3059,JC Archer,Mumbai Indians,Sheikh Zayed Stadium,0,0,20.0,16.0,0,0,34.018181818181816
3060,JC Buttler,Mumbai Indians,Sheikh Zayed Stadium,2,0,46.0,60.625,5,1,52.60909090909091
3061,KH Pandya,Rajasthan Royals,Sheikh Zayed Stadium,0,0,6.833333333333333,13.0,0,0,11.579411764705881
3062,MK Lomror,Mumbai Indians,Sheikh Zayed Stadium,0,0,29.0,6.0,0,0,14.561538461538461
3063,Q de Kock,Rajasthan Royals,Sheikh Zayed Stadium,2,0,26.5,39.625,3,0,22.4375
3064,R Tewatia,Mumbai Indians,Sheikh Zayed Stadium,0,0,14.5,10.5,0,0,11.233333333333334
3065,RG Sharma,Rajasthan Royals,Sheikh Zayed Stadium,2,0,39.5,13.8,0,0,33.18333333333334
3066,S Gopal,Mumbai Indians,Sheikh Zayed Stadium,0,0,1.0,4.666666666666667,0,0,5.6
3067,SA Yadav,Rajasthan Royals,Sheikh Zayed Stadium,3,0,41.875,41.4,4,0,46.00777621393385
3068,SPD Smith,Mumbai Indians,Sheikh Zayed Stadium,0,0,15.8,29.818181818181817,3,0,15.860714285714286
3069,SV Samson,Mumbai Indians,Sheikh Zayed Stadium,1,0,21.2,25.2,3,0,21.914285714285715
3070,TK Curran,Mumbai Indians,Sheikh Zayed Stadium,0,0,15.0,16.5,0,0,16.923529411764704
3071,YBK Jaiswal,Mumbai Indians,Sheikh Zayed Stadium,0,0,0.0,33.8,1,1,0.2
3072,AD Russell,Sunrisers Hyderabad,Sheikh Zayed Stadium,0,0,7.8,18.416666666666668,0,0,13.181818181818183
3073,Abdul Samad,Kolkata Knight Riders,Sheikh Zayed Stadium,0,0,17.5,18.0,0,0,19.26666666666667
3074,DA Warner,Kolkata Knight Riders,Sheikh Zayed Stadium,0,0,24.5,43.06666666666667,5,1,23.141176470588235
3075,EJG Morgan,Sunrisers Hyderabad,Sheikh Zayed Stadium,0,0,23.333333333333332,17.142857142857142,0,0,24.476998597475454
3076,JM Bairstow,Kolkata Knight Riders,Sheikh Zayed Stadium,1,0,31.333333333333332,43.0,2,0,20.12857142857143
3077,KD Karthik,Sunrisers Hyderabad,Sheikh Zayed Stadium,1,0,15.555555555555555,13.764705882352942,0,0,11.971428571428573
3078,KS Williamson,Kolkata Knight Riders,Sheikh Zayed Stadium,2,0,46.75,22.636363636363637,1,0,29.9
3079,MK Pandey,Kolkata Knight Riders,Sheikh Zayed Stadium,1,0,21.0,25.142857142857142,2,0,25.84624060150376
3080,N Rana,Sunrisers Hyderabad,Sheikh Zayed Stadium,1,0,22.0,35.8,4,0,31.55
3081,PK Garg,Kolkata Knight Riders,Sheikh Zayed Stadium,0,0,9.333333333333334,12.5,0,0,8.014285714285714
3082,RA Tripathi,Sunrisers Hyderabad,Sheikh Zayed Stadium,1,0,21.5,23.428571428571427,2,0,26.375
3083,Rashid Khan,Kolkata Knight Riders,Sheikh Zayed Stadium,0,0,6.0,8.6,0,0,5.6
3084,Shubman Gill,Sunrisers Hyderabad,Sheikh Zayed Stadium,2,0,26.5,32.90909090909091,3,1,38.87042042042042
